Date,Month,Year,SiteID,EC,TP,pH,DOMgL,DOPctSat,DOTemp
6/10/2021,June,2021,SPB016,30,0.0553,6.74,5.55,65.1,23.4
6/10/2021,June,2021,THB033,689,0.0631,6.84,8.6,88,16.4
6/10/2021,June,2021,UNB002,959,0.152,6.28,5.1,52,16.3
6/10/2021,June,2021,UNB014,1460,0.122,6.83,8.3,79,13.4
6/10/2021,June,2021,UNB016,706,0.0692,6.32,9.5,92,14.3
6/10/2021,June,2021,WIP002,41,0.0289,6.91,6.7,80.3,25.4
6/10/2021,June,2021,WIP003,292,0.0299,6.92,,,
7/8/2021,July,2021,BEB025,6130,0.0929,7.41,,,
7/8/2021,July,2021,BMB026,4880,0.0546,7.04,6.76,77,21.5
7/8/2021,July,2021,EAB010,2010,0.0519,6.7,8.69,99.2,22.2
7/8/2021,July,2021,GEB020,7700,0.12,7.03,7.92,85.1,18.7
7/8/2021,July,2021,HAB002,426,0.0524,7.14,7.64,87.9,22.3
7/8/2021,July,2021,HAB006,3450,0.0646,6.95,,,
7/8/2021,July,2021,HAB010,4110,0.0578,7.2,7.89,88.9,21.6
7/8/2021,July,2021,MEB001,10500,0.106,7.11,8.52,91.9,19.4
7/8/2021,July,2021,MIB030,537,0.117,7.44,3.33,38.6,22.7
7/8/2021,July,2021,MLB024,2190,0.104,6.95,7.63,83.1,19.5
7/8/2021,July,2021,MMB106,,,,4.42,56.7,28.1
7/8/2021,July,2021,MOB001,437,0.077,7,6.93,80,22.6
7/8/2021,July,2021,MOB032,1720,0.0855,7.29,7.8,90.1,22.8
7/8/2021,July,2021,MPB037,246,0.0476,7.27,7.59,88.9,23.3
7/8/2021,July,2021,MPB088,1380,0.0436,7.04,6.98,78.7,21.3
7/8/2021,July,2021,NER002,135,0.44,6.95,3.02,38.5,27.6
7/8/2021,July,2021,NER040,520,0.104,7.19,4.91,58.1,23.8
7/8/2021,July,2021,NER075,345,0.0707,6.97,7.1,81.8,22.5
7/8/2021,July,2021,NER080,3450,0.0706,7.14,7.6,87,22.2
7/8/2021,July,2021,NER125,464,0.0788,6.73,,,
7/8/2021,July,2021,NER150,472,0.0649,7.24,4.13,47.3,22
7/8/2021,July,2021,NER179,1050,0.0764,7.18,7.61,87.5,22.4
7/8/2021,July,2021,NER185,1140,0.0756,6.89,7.91,91.2,22.4
7/8/2021,July,2021,NER200,1260,0.0715,7.28,8.66,98.4,22.2
7/8/2021,July,2021,PEB008,1610,0.0989,6.99,4.13,47.3,22
7/8/2021,July,2021,POB040,1620,0.0968,6.91,6.05,66.6,20.3
7/8/2021,July,2021,PQB036,717,0.0642,6.62,2.18,24.1,20.6
7/8/2021,July,2021,PQB040,1050,0.0324,7.1,7.96,87,23
7/8/2021,July,2021,PTB028,1860,0.0608,7.34,5.56,60.5,19.9
7/8/2021,July,2021,PTB035,3260,0.0743,7.27,6.32,68.8,19.9
7/8/2021,July,2021,PTB047,4880,0.0647,7.31,7.55,82.5,20
7/8/2021,July,2021,PUB022,1230,0.0768,7.22,8.81,96.3,20.1
7/8/2021,July,2021,SHB021,2190,0.0622,6.35,7.48,84.4,22.6
7/8/2021,July,2021,SMB001,134,0.0509,7.42,1.21,14.7,25.1
7/8/2021,July,2021,SPB016,3260,0.0571,7.07,5,62.3,27.5
7/8/2021,July,2021,THB033,8660,0.13,7.08,8.31,89,18.6
7/8/2021,July,2021,UNB002,,,,6.65,71.2,19
7/8/2021,July,2021,UNB014,9800,0.106,6.28,8.68,91.5,18.3
